referencia,pc1,pc2,lat,lon,area_m2,municipio,uso,tipo_via,nombre_via,numero,direccion,es_residencial,es_asr,error_dnprc
5054545UL9155S,5054545,UL9155S,40.784584,-4.246658,591.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054546UL9155S,5054546,UL9155S,40.784583,-4.246801,592.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054547UL9155S,5054547,UL9155S,40.784574,-4.246943,599.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054548UL9155S,5054548,UL9155S,40.784576,-4.247113,827.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054549UL9155S,5054549,UL9155S,40.784542,-4.247321,929.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054550UL9155S,5054550,UL9155S,40.784476,-4.247477,625.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054551UL9155S,5054551,UL9155S,40.784435,-4.247609,616.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054552UL9155S,5054552,UL9155S,40.784387,-4.247738,602.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054553UL9155S,5054553,UL9155S,40.784335,-4.247862,585.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054554UL9155S,5054554,UL9155S,40.784278,-4.248026,835.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054555UL9155S,5054555,UL9155S,40.784175,-4.248148,522.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054556UL9155S,5054556,UL9155S,40.784103,-4.248254,489.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054557UL9155S,5054557,UL9155S,40.784027,-4.248355,452.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054558UL9155S,5054558,UL9155S,40.783948,-4.248452,420.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054559UL9155S,5054559,UL9155S,40.783863,-4.248557,450.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054560UL9155S,5054560,UL9155S,40.783731,-4.248652,548.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054561UL9155S,5054561,UL9155S,40.783445,-4.248542,721.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5054562UL9155S,5054562,UL9155S,40.784748,-4.247301,12.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,LOS ANGELES,,AV LOS ANGELES  Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5155601UL9155N,5155601,UL9155N,40.782346,-4.24436,23428.0,VEGAS DE MATUTE,Ocio y Hosteleria,UR,ANGELES DE SAN RAFAEL,0,UR ANGELES DE SAN RAFAEL 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5160401UL9156S,5160401,UL9156S,40.787088,-4.243929,866.0,VEGAS DE MATUTE,,UR,ANGELES DE SAN RAFAEL,0,,False,False,
5161201UL9156S,5161201,UL9156S,40.7879,-4.244489,941.0,VEGAS DE MATUTE,,UR,ANGELES DE SAN RAFAEL,7,,False,False,
5161601UL9156S,5161601,UL9156S,40.787798,-4.243768,370.0,VEGAS DE MATUTE,,UR,ANGELES DE SAN RAFAEL,8,,False,False,
